ZnO_Hub_6.50_10.50,3.6852
ZnO_Hub_10.50_9.50,3.7050
ZnO_Hub_5.50_11.00,3.7138
ZnO_Hub_8.50_10.00,3.7147
ZnO_Hub_4.50_11.50,3.7233
ZnO_Hub_7.00_10.50,3.7293
ZnO_Hub_11.00_9.50,3.7316
ZnO_Hub_9.00_10.00,3.7487
ZnO_Hub_11.50_9.50,3.7568
ZnO_Hub_6.00_11.00,3.7651
ZnO_Hub_7.50_10.50,3.7709
ZnO_Hub_4.00_12.00,3.7797
ZnO_Hub_12.00_9.50,3.7808
ZnO_Hub_9.50_10.00,3.7808
ZnO_Hub_5.00_11.50,3.7831
ZnO_Hub_8.00_10.50,3.8102
ZnO_Hub_10.00_10.00,3.8113
ZnO_Hub_6.50_11.00,3.8135
ZnO_Hub_5.50_11.50,3.8395
ZnO_Hub_10.50_10.00,3.8401
ZnO_Hub_4.50_12.00,3.8454
ZnO_Hub_8.50_10.50,3.8473
ZnO_Hub_7.00_11.00,3.8592
ZnO_Hub_11.00_10.00,3.8674
ZnO_Hub_9.00_10.50,3.8824
ZnO_Hub_6.00_11.50,3.8926
ZnO_Hub_11.50_10.00,3.8933
ZnO_Hub_7.50_11.00,3.9021
ZnO_Hub_5.00_12.00,3.9074
ZnO_Hub_9.50_10.50,3.9154
ZnO_Hub_12.00_10.00,3.9179
ZnO_Hub_6.50_11.50,3.9426
ZnO_Hub_8.00_11.00,3.9426
ZnO_Hub_10.00_10.50,3.9468
ZnO_Hub_5.50_12.00,3.9656
ZnO_Hub_10.50_10.50,3.9764
ZnO_Hub_8.50_11.00,3.9809
ZnO_Hub_7.00_11.50,3.9896
ZnO_Hub_11.00_10.50,4.0045
ZnO_Hub_9.00_11.00,4.0170
ZnO_Hub_6.00_12.00,4.0205
ZnO_Hub_11.50_10.50,4.0311
ZnO_Hub_7.50_11.50,4.0341
ZnO_Hub_9.50_11.00,4.0511
ZnO_Hub_12.00_10.50,4.0564
ZnO_Hub_6.50_12.00,4.0723
ZnO_Hub_8.00_11.50,4.0760
ZnO_Hub_10.00_11.00,4.0834
ZnO_Hub_10.50_11.00,4.1139
ZnO_Hub_8.50_11.50,4.1154
ZnO_Hub_7.00_12.00,4.1209
ZnO_Hub_11.00_11.00,4.1428
ZnO_Hub_9.00_11.50,4.1527
ZnO_Hub_7.50_12.00,4.1668
ZnO_Hub_11.50_11.00,4.1702
ZnO_Hub_9.50_11.50,4.1878
ZnO_Hub_12.00_11.00,4.1962
ZnO_Hub_8.00_12.00,4.2100
ZnO_Hub_10.00_11.50,4.2211
ZnO_Hub_8.50_12.00,4.2507
ZnO_Hub_10.50_11.50,4.2525
ZnO_Hub_11.00_11.50,4.2823
ZnO_Hub_9.00_12.00,4.2892
ZnO_Hub_9.50_12.00,4.3255
ZnO_Hub_12.00_11.50,4.3373
ZnO_Hub_10.00_12.00,4.3598
ZnO_Hub_10.50_12.00,4.3923
ZnO_Hub_11.00_12.00,4.4230
ZnO_Hub_11.50_12.00,4.4520
ZnO_Hub_12.00_12.00,4.4796
