highest_occupied lowest_unoccupied Egap
ZnO-PBEU-5.00_9.00.out 7.6849 11.1376 3.4527
ZnO-PBEU-5.00_9.50.out 7.6223 11.1928 3.5705
ZnO-PBEU-5.50_10.00.out 7.4961 11.2404 3.7443
ZnO-PBEU-5.50_10.50.out 7.4321 11.2930 3.8609
ZnO-PBEU-5.50_11.00.out 7.3690 11.3446 3.9756
ZnO-PBEU-5.50_11.50.out 7.3069 11.3950 4.0881
ZnO-PBEU-5.50_12.00.out 7.2458 11.4444 4.1986
ZnO-PBEU-5.50_4.00.out 8.2896 10.5029 2.2133
ZnO-PBEU-5.50_4.50.out 8.2245 10.5730 2.3485
ZnO-PBEU-5.50_5.00.out 8.1587 10.6412 2.4825
ZnO-PBEU-5.50_5.50.out 8.0924 10.7078 2.6154
ZnO-PBEU-5.50_6.00.out 8.0258 10.7727 2.7469
ZnO-PBEU-5.50_6.50.out 7.9590 10.8362 2.8772
ZnO-PBEU-5.50_7.00.out 7.8920 10.8980 3.006
ZnO-PBEU-5.50_7.50.out 7.8251 10.9585 3.1334
ZnO-PBEU-5.50_8.00.out 7.7584 11.0174 3.259
ZnO-PBEU-5.50_8.50.out 7.6921 11.0751 3.383
ZnO-PBEU-5.50_9.00.out 7.6261 11.1314 3.5053
ZnO-PBEU-5.50_9.50.out 7.5608 11.1865 3.6257
ZnO-PBEU-6.00_10.00.out 7.4352 11.2343 3.7991
ZnO-PBEU-6.00_10.50.out 7.3685 11.2869 3.9184
ZnO-PBEU-6.00_11.00.out 7.3027 11.3385 4.0358
ZnO-PBEU-6.00_11.50.out 7.2378 11.3889 4.1511
ZnO-PBEU-6.00_12.00.out 7.1739 11.4382 4.2643
ZnO-PBEU-6.00_4.00.out 8.2549 10.4969 2.242
ZnO-PBEU-6.00_4.50.out 8.1880 10.5669 2.3789
ZnO-PBEU-6.00_5.00.out 8.1204 10.6352 2.5148
ZnO-PBEU-6.00_5.50.out 8.0521 10.7017 2.6496
ZnO-PBEU-6.00_6.00.out 7.9835 10.7667 2.7832
ZnO-PBEU-6.00_6.50.out 7.9147 10.8301 2.9154
ZnO-PBEU-6.00_7.00.out 7.8455 10.8920 3.0465
ZnO-PBEU-6.00_7.50.out 7.7764 10.9524 3.176
ZnO-PBEU-6.00_8.00.out 7.7075 11.0114 3.3039
ZnO-PBEU-6.00_8.50.out 7.6387 11.0690 3.4303
ZnO-PBEU-6.00_9.00.out 7.5703 11.1253 3.555
ZnO-PBEU-6.00_9.50.out 7.5024 11.1804 3.678
ZnO-PBEU-6.50_10.00.out 7.3774 11.2283 3.8509
ZnO-PBEU-6.50_10.50.out 7.3082 11.2810 3.9728
ZnO-PBEU-6.50_11.00.out 7.2397 11.3325 4.0928
ZnO-PBEU-6.50_11.50.out 7.1721 11.3829 4.2108
ZnO-PBEU-6.50_12.00.out 7.1055 11.4323 4.3268
ZnO-PBEU-6.50_4.00.out 8.2219 10.4911 2.2692
