sim_id,supercelula,num_atomos,atom_id,atom_type,energia_total_eV,Volume_A³,energia_total_Ry,Volume_(a.u)^3,fx_Ry_bohr,fy_Ry_bohr,fz_Ry_bohr,modulo_Ry_bohr,modulo_eV_A,label_atom
ZnO-3.47-1.74-321,3x2x1,24,atom 11,2,-29515.904880037924,377.18132526938996,-2169.3790131533196,2545.3457529285765,-8.099999391222873e-07,-5.899999556569745e-07,0.00805364939470643,0.008053649457050829,0.20706765135184035,O
ZnO-3.47-1.74-321,3x2x1,24,atom 12,2,-29515.904880037924,377.18132526938996,-2169.3790131533196,2545.3457529285765,8.299999376191337e-07,3.499999736948154e-07,0.0080538293946929,0.008053829445066446,0.20707227902974765,O
ZnO-3.47-1.74-321,3x2x1,24,atom 13,1,-29515.904880037924,377.18132526938996,-2169.3790131533196,2545.3457529285765,-5.099999616695883e-07,-2.799999789558524e-07,-0.00805396939468238,0.00805396941569686,0.20707587781932157,Zn
ZnO-3.47-1.74-321,3x2x1,24,atom 14,1,-29515.904880037924,377.18132526938996,-2169.3790131533196,2545.3457529285765,1.3199999007918753e-06,5.699999571601281e-07,-0.008053369394727474,0.008053369523077458,0.20706045396006062,Zn
ZnO-3.47-1.74-321,3x2x1,24,atom 15,2,-29515.904880037924,377.18132526938996,-2169.3790131533196,2545.3457529285765,-9.199999308549434e-07,-4.899999631727416e-07,0.00805370939470192,0.0080537094621553,0.20706919414509434,O
ZnO-3.47-1.74-321,3x2x1,24,atom 16,2,-29515.904880037924,377.18132526938996,-2169.3790131533196,2545.3457529285765,7.199999458864775e-07,5.499999586632814e-07,0.008053839394692149,0.008053839445655412,0.20707253615522606,O
ZnO-3.47-1.74-321,3x2x1,24,atom 17,1,-29515.904880037924,377.18132526938996,-2169.3790131533196,2545.3457529285765,-5.599999579117047e-07,-1.2399999068044889e-06,-0.008054219394663591,0.008054219509584704,0.20708230799166139,Zn
ZnO-3.47-1.74-321,3x2x1,24,atom 18,1,-29515.904880037924,377.18132526938996,-2169.3790131533196,2545.3457529285765,7.399999443833241e-07,8.399999368675572e-07,-0.008053549394713944,0.008053549472518136,0.20706508064616633,Zn
ZnO-3.47-1.74-321,3x2x1,24,atom 19,2,-29515.904880037924,377.18132526938996,-2169.3790131533196,2545.3457529285765,-7.599999428801707e-07,-3.499999736948154e-07,0.008053699394702673,0.008053699438167163,0.20706893641799906,O
ZnO-3.47-1.74-321,3x2x1,24,atom 20,2,-29515.904880037924,377.18132526938996,-2169.3790131533196,2545.3457529285765,7.999999398738638e-07,4.299999676822018e-07,0.008053859394690647,0.008053859445902112,0.20707305038223983,O
ZnO-3.47-1.74-321,3x2x1,24,atom 21,1,-29515.904880037924,377.18132526938996,-2169.3790131533196,2545.3457529285765,-1.0899999180781395e-06,-5.599999579117047e-07,-0.00805408939467336,0.008054089487899279,0.20707896499974582,Zn
ZnO-3.47-1.74-321,3x2x1,24,atom 22,1,-29515.904880037924,377.18132526938996,-2169.3790131533196,2545.3457529285765,6.899999481412076e-07,5.799999564085513e-07,-0.008053279394734237,0.008053279445179517,0.20705813796420497,Zn
ZnO-3.47-1.74-321,3x2x1,24,atom 23,2,-29515.904880037924,377.18132526938996,-2169.3790131533196,2545.3457529285765,-6.399999518990912e-07,-5.099999616695883e-07,0.008053639394707181,0.008053639436284652,0.20706739370758506,O
ZnO-3.47-1.74-321,3x2x1,24,atom 24,2,-29515.904880037924,377.18132526938996,-2169.3790131533196,2545.3457529285765,7.499999436317474e-07,4.3999996693062515e-07,0.00805376939469741,0.008053769441638155,0.20707073627959008,O
ZnO-3.47-1.78-321,3x2x1,24,atom 1,1,-29514.982248271495,384.1659122355719,-2169.3112009686997,2592.4800821736258,3.169999761750186e-06,-3.2999997519796884e-07,-0.012182819084367635,0.012182819501257939,0.3132328808724509,Zn
