 &plot nbnd=  36, nks=    36 /
            0.000000  0.000000  0.000000
            0.133300  0.153864  0.000000
 -113.713 -113.684  -67.887  -67.871  -67.867  -67.865  -67.863  -67.861   -7.534   -7.274
   -0.846   -0.666   -0.563   -0.482   -0.318    0.230    0.360    0.438    0.767    1.348
    2.006    5.478    5.952    6.386    7.175    7.222   12.322   16.288   18.278   20.645
   22.283   23.139   23.692   24.702   25.563   26.461
            0.266600  0.307843  0.000000
 -113.719 -113.707  -67.888  -67.880  -67.871  -67.868  -67.862  -67.861   -7.395   -7.207
   -0.865   -0.564   -0.380   -0.167    0.148    0.244    0.358    0.570    0.815    1.567
    2.848    3.687    4.467    4.985    6.468    6.514   14.667   17.602   18.280   18.753
   20.995   21.827   22.455   24.576   25.902   27.636
            0.399900  0.461707  0.000000
 -113.721 -113.715  -67.890  -67.882  -67.876  -67.872  -67.861  -67.861   -7.292   -7.200
   -0.898   -0.418   -0.108    0.201    0.266    0.424    0.511    0.585    1.168    1.246
    2.694    3.405    3.601    4.677    5.634    5.913   16.681   17.603   17.642   18.420
   20.697   21.477   22.731   23.373   25.379   30.008
            0.533300  0.615744  0.000000
 -113.720 -113.712  -67.887  -67.884  -67.873  -67.870  -67.861  -67.861   -7.347   -7.201
   -0.842   -0.490   -0.202   -0.144    0.242    0.322    0.359    0.591    0.877    1.597
    2.892    3.583    4.168    4.470    6.112    6.225   15.472   17.634   18.471   18.556
   21.002   21.498   21.734   24.554   25.549   28.245
            0.666600  0.769723  0.000000
 -113.719 -113.705  -67.889  -67.875  -67.871  -67.866  -67.863  -67.863   -7.417   -7.207
   -0.971   -0.503   -0.492   -0.092    0.068    0.195    0.411    0.558    0.791    1.535
    2.767    3.533    4.760    5.298    6.569    6.793   14.276   17.483   17.899   18.790
   21.054   22.432   23.394   24.107   25.847   28.346
            0.666600  0.769723  0.062511
 -113.719 -113.706  -67.889  -67.875  -67.871  -67.866  -67.863  -67.863   -7.408   -7.207
   -0.983   -0.546   -0.481   -0.103    0.051    0.160    0.438    0.563    0.784    1.447
    2.855    3.650    4.726    5.339    6.582    6.758   14.302   17.243   18.071   18.807
   21.047   22.472   23.398   24.078   25.536   28.513
            0.666600  0.769723  0.125023
 -113.719 -113.708  -67.887  -67.874  -67.871  -67.867  -67.864  -67.863   -7.383   -7.209
   -1.013   -0.659   -0.449   -0.131    0.003    0.067    0.514    0.578    0.764    1.279
    3.024    3.899    4.713    5.454    6.585    6.659   14.393   16.808   18.319   18.858
   21.008   22.531   23.417   23.998   25.049   28.575
            0.666600  0.769723  0.187534
 -113.719 -113.711  -67.884  -67.873  -67.872  -67.868  -67.864  -67.863   -7.347   -7.217
   -1.046   -0.805   -0.396   -0.161   -0.069   -0.036    0.601    0.621    0.734    1.123
    3.208    3.962    4.972    5.630    6.503    6.503   14.579   16.307   18.546   18.922
   20.979   22.359   23.458   23.884   25.001   28.141
            0.666600  0.769723  0.250045
 -113.718 -113.714  -67.880  -67.874  -67.872  -67.869  -67.864  -67.863   -7.306   -7.236
   -1.059   -0.939   -0.326   -0.175   -0.154   -0.115    0.631    0.700    0.739    0.986
    3.405    3.815    5.446    5.846    6.282    6.303   14.882   15.787   18.737   18.944
   21.087   21.897   23.529   23.754   25.532   27.316
            0.666600  0.769723  0.312557
 -113.716 -113.716  -67.877  -67.877  -67.871  -67.871  -67.864  -67.864   -7.267   -7.267
   -1.027   -1.027   -0.243   -0.243   -0.161   -0.161    0.665    0.665    0.861    0.861
    3.613    3.613    5.916    5.916    6.078    6.078   15.297   15.297   18.878   18.878
   21.412   21.412   23.631   23.631   26.377   26.377
            0.533300  0.615744  0.312557
 -113.720 -113.720  -67.878  -67.878  -67.875  -67.875  -67.863  -67.863   -7.218   -7.218
   -0.856   -0.856   -0.275   -0.275   -0.079   -0.079    0.680    0.680    1.107    1.107
    3.278    3.278    5.111    5.111    6.060    6.060   16.177   16.177   18.792   18.792
   20.208   20.208   24.074   24.074   26.890   26.890
            0.399900  0.461707  0.312557
 -113.722 -113.722  -67.880  -67.880  -67.874  -67.874  -67.863  -67.863   -7.184   -7.184
   -0.821   -0.821   -0.270   -0.270    0.170    0.170    0.625    0.625    1.395    1.395
    2.716    2.716    4.734    4.734    6.090    6.090   16.749   16.749   18.497   18.497
   19.715   19.715   24.667   24.667   26.475   26.475
            0.266600  0.307843  0.312557
 -113.717 -113.717  -67.876  -67.876  -67.873  -67.873  -67.863  -67.863   -7.252   -7.252
   -0.937   -0.937   -0.294   -0.294   -0.154   -0.154    0.677    0.677    0.936    0.936
    3.586    3.586    5.597    5.597    6.044    6.044   15.636   15.636   18.913   18.913
   20.867   20.867   23.697   23.697   26.902   26.902
            0.133300  0.153864  0.312557
 -113.704 -113.704  -67.874  -67.874  -67.867  -67.867  -67.862  -67.862   -7.392   -7.392
   -0.872   -0.872   -0.570   -0.570   -0.474   -0.474    0.629    0.629    0.695    0.695
    4.710    4.710    6.318    6.318    6.673    6.673   14.268   14.268   19.831   19.831
   21.814   21.814   23.300   23.300   27.924   27.924
            0.000000  0.000000  0.312557
 -113.695 -113.695  -67.871  -67.871  -67.864  -67.864  -67.864  -67.864   -7.459   -7.459
   -0.714   -0.714   -0.693   -0.693   -0.693   -0.693    0.635    0.635    0.635    0.635
    4.851    4.851    7.051    7.051    7.051    7.051   13.454   13.454   20.081   20.081
   23.069   23.069   23.069   23.069   28.164   28.164
